Article_title,Year,First_author,Journal,JIF,JIF_year,JIF_5yrs,Times_cited,Pubs,Fields,Subfields,SJR Year,SJR,Cite Score
"A 20th century acceleration in global sea‐level rise
JA Church, NJ White - Geophysical research letters, 2006",2006,John Church,"Geophysical research letters, 2006",4.25,2016,,1426,AGU Publications,PM,GEOPH,2017,2.66,
"Changes in the velocity structure of the Greenland Ice Sheet
E Rignot, P Kanagaratnam - Science, 2006",2006,Eric Rignot,"Science, 2006",,2016,,1188,,PM,GEOPH,2017,14.14,
"Climate change hot‐spots
F Giorgi - Geophysical research letters, 2006",2006,FILIPPO GIORGI,"Geophysical research letters, 2006",4.25,2016,,975,AGU Publications,PM,GEOPH,2017,2.66,
"Post‐processing removal of correlated errors in GRACE data
S Swenson, J Wahr - Geophysical Research Letters, 2006",2006,No profiles,"Geophysical Research Letters, 2006",4.25,2016,,823,AGU Publications,PM,GEOPH,2017,2.66,
"Global Mapping Function (GMF): A new empirical mapping function based on numerical weather model data
J Böhm, A Niell, P Tregoning… - Geophysical Research …, 2006",2006,Johannes Böhm,"Geophysical Research Letters, 2006",4.25,2016,,644,AGU Publications,PM,GEOPH,2017,2.66,
"Future abrupt reductions in the summer Arctic sea ice
MM Holland, CM Bitz, B Tremblay - Geophysical research letters, 2006",2006,Marika Holland,"Geophysical Research Letters, 2006",4.25,2016,,624,AGU Publications,PM,GEOPH,2017,2.66,
"Climate impacts of the Atlantic multidecadal oscillation
JR Knight, CK Folland, AA Scaife - Geophysical Research Letters, 2006",2006,Chris Folland,"Geophysical Research Letters, 2006",4.25,2016,,553,AGU Publications,PM,GEOPH,2017,2.66,
"Amazon rainforests green‐up with sunlight in dry season
AR Huete, K Didan, YE Shimabukuro… - Geophysical research …, 2006",2006,Ranga Myneni,"Geophysical Research Letters, 2006",4.25,2016,,523,AGU Publications,PM,GEOPH,2017,2.66,
"Impact of Atlantic multidecadal oscillations on India/Sahel rainfall and Atlantic hurricanes
R Zhang, TL Delworth - Geophysical Research Letters, 2006",2006,Rong Zhang,"Geophysical Research Letters, 2006",4.25,2016,,517,AGU Publications,PM,GEOPH,2017,2.66,
"Green’s function representations for seismic interferometry
K Wapenaar, J Fokkema - Geophysics, 2006",2006,Kees Wapenaar,"Geophysics, 2006",,2016,,515,Society of Exploration Geophysicists,PM,GEOPH,2017,1.02,
"Geant4 developments and applications
J Allison, K Amako, J Apostolakis, H Araujo… - IEEE Transactions on …, 2006",2006,Stephane Chauvie,IEEE Transactions on Nuclear Science,1.171,2016,,4172,IEEE Explore Library,PM,HENP,2017,0.56,
"Dispelling the N3 myth for the kt jet-finder
M Cacciari, GP Salam - Physics Letters B, 2006",2006,Matteo Cacciari,"Physics Letters B, 2006",4.254,2016,3.968,2103,Elsevier,PM,HENP,2017,2.34,
"Final report of the E821 muon anomalous magnetic moment measurement at BNL
GW Bennett, B Bousquet, HN Brown, G Bunce… - Physical Review …, 2006",2006,P. T. Debevec,"Physical Review D, 2006",4.568,2016,,1595,American Physical Society,PM,HENP,2017,1.81,
"GeV electron beams from a centimetre-scale accelerator
WP Leemans, B Nagler, AJ Gonsalves, C Tóth… - Nature …, 2006",2006,Wim Leemans,"Nature Physics, 2006",,,,1593,"Macmillan Publishers Limited, part of Springer Nature",PM,HENP,2017,9.97,
"PHOTOS Monte Carlo: a precision tool for QED correctionsin Z and W decays
P Golonka, Z Was - The European Physical Journal C-Particles …, 2006",2006,No profiles,The European Physical Journal C,5.172,,,1464,Springer,PM,HENP,2017,,
"Holographic derivation of entanglement entropy from the anti–de sitter space/conformal field theory correspondence
S Ryu, T Takayanagi - Physical review letters, 2006",2006,Tadashi Takayanagi,"Physical review letters, 2006",8.462,2016,,1458,American Physical Society (United States),PM,HENP,2017,3.62,
"Improved experimental limit on the electric dipole moment of the neutron
CA Baker, DD Doyle, P Geltenbort, K Green… - Physical Review …, 2006",2006,No profiles,"Physical Review D, 2006",4.568,2016,,1263,American Physical Society (United States),PM,HENP,2017,1.81,
"Electroweak gauge boson production at hadron colliders through O (α s 2)
K Melnikov, F Petriello - Physical Review D, 2006",2006,Frank Petriello,"Physical Review D, 2006",4.568,2016,,1217,American Physical Society (United States),PM,HENP,2017,1.81,
"The order of the quantum chromodynamics transition predicted by the standard model of particle physics
Y Aoki, G Endrődi, Z Fodor, SD Katz, KK Szabo - Nature, 2006",2006,Zoltan Fodor,"Nature, 2006",,,,1169,,PM,HENP,2017,17.87,
"Measurement of neutrino oscillation by the K2K experiment
MH Ahn, E Aliu, S Andringa, S Aoki, Y Aoyama… - Physical Review …, 2006",2006,Christian CAVATA,"Physical Review D, 2006",4.568,2016,,1057,American Physical Society.,PM,HENP,2017,1.81,
"The two micron all sky survey (2MASS)
MF Skrutskie, RM Cutri, R Stiening… - The Astronomical …, 2006",2006,John Gizis,"The Astronomical Journal, 2006",4.15,2016,,6624,IOP Publishing,PM,AA,2017,,
"The many lives of active galactic nuclei: cooling flows, black holes and the luminosities and colours of galaxies
DJ Croton, V Springel, SDM White… - Monthly Notices of the …, 2006",2006,Darren Croton,"Monthly Notices of the Royal Astronomical Society, 2006",5.194,2016,4.893,2783,Oxford University Press,PM,AA,2017,2.35,
"The Supernova Legacy Survey: measurement of $\ Omega_ {\ mathsf {M}} $, $\ Omega_\ mathsf {\ Lambda} $ and w from the first year data set
P Astier, J Guy, N Regnault, R Pain… - Astronomy & …, 2006",2006,Nicholas Walton,"Astronomy and Astrophysics, 2006",,,,2594,,PM,AA,2017,2.26,
"Breaking the hierarchy of galaxy formation
RG Bower, AJ Benson, R Malbon, JC Helly… - Monthly Notices of the …, 2006",2006,Cedric Lacey,"Monthly Notices of the Royal Astronomical Society, 2006",5.194,2016,4.893,1922,Oxford University Press,PM,AA,2017,2.35,
"The solar chemical composition
M Asplund, N Grevesse, AJ Sauval - Nuclear Physics A, 2006",2006,Martin Asplund,"Nuclear Physics A, 2006",1.992,2016,1.51,1635,Elsevier,PM,AA,2017,0.94,
"On the normalization of the cosmic star formation history
AM Hopkins, JF Beacom - The Astrophysical Journal, 2006",2006,John F. Beacom,"The Astrophysical Journal, 2006",5.551,2017,,1557,IOP Publishing,PM,AA,2017,2.68,
"Cosmological constraints from the SDSS luminous red galaxies
M Tegmark, DJ Eisenstein, MA Strauss… - Physical Review …, 2006",2006,Max Tegmark,"Physical Review D, 2006",4.568,2016,,1430,American Physical Society.,PM,AA,2017,1.81,
"The 2.5 m telescope of the sloan digital sky survey
JE Gunn, WA Siegmund, EJ Mannery… - The Astronomical …, 2006",2006,Gillian Knapp,"The Astronomical Journal, 2006",4.15,2016,,1159,IOP Publishing,PM,AA,2017,2.68,
"Galaxy bimodality due to cold flows and shock heating
A Dekel, Y Birnboim - Monthly Notices of the Royal Astronomical …, 2006",2006,No profiles,"Monthly Notices of the Royal Astronomical Society, 2006",5.194,2016,4.893,1094,Oxford University Press,PM,AA,2017,2.35,
"The host galaxies and classification of active galactic nuclei
LJ Kewley, B Groves, G Kauffmann… - Monthly Notices of the …, 2006",2006,Lisa Kewley,"Monthly Notices of the Royal Astronomical Society, 2006",5.194,2016,4.893,1056,Oxford University Press,PM,AA,2017,2.35,
"For most large underdetermined systems of linear equations the minimal 𝓁1‐norm solution is also the sparsest solution
DL Donoho - Communications on pure and applied mathematics, 2006",2006,No profile,"Communications on pure and applied mathematics, 2006",3.386,2016,,2575,Wiley,PM,PAM,2017,4.91,
"Strong convergence of the CQ method for fixed point iteration processes
C Martinez-Yanes, HK Xu - Nonlinear Analysis: Theory, Methods & …, 2006",2006,No profiles,"Nonlinear Analysis: Theory, Methods & Applications, 2006",1.39,2016,1.402,275,Elsevier,PM,PAM,2017,1.7,
"A variable Krasnosel'skii–Mann algorithm and the multiple-set split feasibility problem
HK Xu - Inverse problems, 2006",2006,No profile,"Inverse problems, 2006",1.946,2017,,266,IOP Publishing,PM,PAM,2017,1.21,
"Non-archimedean amoebas and tropical varieties
M Einsiedler, M Kapranov, D Lind - Journal für die reine und …, 2006",2006,No profiles,"Journal fu¨r die reine und angewandte Mathematik, 2006",1.686,2017,,261,De Gruyter Publisher,PM,PAM,2017,2.59,
"Existence results for a class of rate-independent material models with nonconvex elastic energies
G Francfort, A Mielke - Journal für die reine und angewandte …, 2006",2006,Gilles Francfort,"Journal fu¨r die reine und angewandte Mathematik, 2006",1.686,2017,,206,De Gruyter Publisher,PM,PAM,2017,2.59,
"Evolutionary dynamics on degree-heterogeneous graphs
T Antal, S Redner, V Sood - Physical review letters, 2006",2006,Tibor Antal,"Physical review letters, 2006",8.462,2016,,153,American Physical Society (United States),PM,PAM,2017,3.62,
"Intersection numbers and the hyperbolicity of the curve complex
BH Bowditch - Journal für die reine und angewandte Mathematik ( …, 2006",2006,No profile,"Journal fu¨r die reine und angewandte Mathematik, 2006",1.686,2017,,141,De Gruyter Publisher,PM,PAM,2017,2.59,
"Homological connectivity of random 2-complexes
N Linial*, R Meshulam* - Combinatorica, 2006",2006,Nati Linial,"Combinatorica, 2006",1.13,2015,,140,Springer Verlag,PM,PAM,2017,1.76,
"Noncommutative Schur functions and their applications
S Fomin, C Greene - Discrete Mathematics, 2006",2006,Sergey Fomin,"Discrete Mathematics, 2006",0.738,2016,0.796,115,Elsevier,PM,PAM,2017,0.85,
"Implicit iteration scheme with perturbed mapping for common fixed points of a finite family of nonexpansive mappings
LC Zeng, JC Yao - Nonlinear Analysis: Theory, Methods & …, 2006",2006,No profiles,"Nonlinear Analysis: Theory, Methods & Applications, 2006",1.39,2016,1.402,94,Elsevier,PM,PAM,2017,1.7,
"Convective transport in nanofluids
J Buongiorno - Journal of Heat Transfer, 2006",2006,No profile,"Journal of Heat Transfer, 2006",,,,2415,The American Society of Mechanical Engineers,PM,TA,2017,0.76,
"Heat transfer of aqueous suspensions of carbon nanotubes (CNT nanofluids)
Y Ding, H Alias, D Wen, RA Williams - International Journal of Heat …, 2006",2006,"Y.L Ding, Yulong Ding, Y. Ding","International Journal of Heat and Mass Transfer…, 2006",3.891,2016,3.95,967,Elsevier,PM,TA,2017,1.5,
"Solid-state thermal rectifier
CW Chang, D Okawa, A Majumdar, A Zettl - Science, 2006",2006,Chih-Wei Chang,"Science, 2006",,,,795,,PM,TA,2017,14.14,
"Experimental investigation of oxide nanofluids laminar flow convective heat transfer
SZ Heris, SG Etemad, MN Esfahany - … Communications in Heat …, 2006",2006,Saeed Zeinali Heris,"International Communications in Heat and Mass Transfer, 2006",4.463,2016,4.113,677,Elsevier,PM,TA,2017,1.55,
"Enhancement of thermal interface materials with carbon nanotube arrays
J Xu, TS Fisher - International Journal of Heat and Mass Transfer, 2006",2006,Timothy S Fisher,"International Journal of Heat and Mass Transfer, 2006",3.891,2016,3.95,434,Elsevier,PM,TA,2017,1.5,
"Brownian-motion-based convective-conductive model for the effective thermal conductivity of nanofluids
R Prasher, P Bhattacharya, PE Phelan - Journal of heat transfer, 2006",2006,Ravi Prasher,"Journal of heat transfer, 2006",,,,430,,PM,TA,2017,0.76,
"Thermal conductivity enhancement of phase change materials using a graphite matrix
A Mills, M Farid, JR Selman… - Applied Thermal …, 2006",2006,Andrew David Mills,"Applied Thermal Engineering, 2006",3.771,2016,3.929,303,Elsevier,PM,TA,2017,1.5,
"Numerical research of nature convective heat transfer enhancement filled with nanofluids in rectangular enclosures
RY Jou, SC Tzeng - … Communications in Heat and Mass Transfer, 2006",2006,No profiles,"International Communications in Heat and Mass Transfer, 2006",4.463,2016,4.113,295,Elsevier,PM,TA,2017,1.55,
"Enhancement of thermal conductivity with Cu for nanofluids using chemical reduction method
MS Liu, MCC Lin, CY Tsai, CC Wang - International Journal of Heat …, 2006",2006,Chi-Chuan Wang (王啟川),"International Journal of Heat and Mass Transfer, 2006",3.891,2016,3.95,295,Elsevier,PM,TA,2017,1.5,
"Cooling performance of a microchannel heat sink with nanofluids
SP Jang, SUS Choi - Applied Thermal Engineering, 2006",2006,Seok Pil Jang,"Applied Thermal Engineering, 2006",3.771,2016,3.929,289,Elsevier,PM,TA,2017,1.5,
"A new version of detached-eddy simulation, resistant to ambiguous grid densities
PR Spalart, S Deck, ML Shur, KD Squires… - Theoretical and …, 2006",2006,Andrey Travin,"Theoretical and Computational Fluid Dynamics, 2006",1.097,2016,1.506,1065,Springer,PM,FM,2017,0.47,
"A correlation-based transition model using local variables—Part I: model formulation
FR Menter, RB Langtry, SR Likki, YB Suzen… - Journal of …, 2006",2006,No profiles,"Journal of Turbomachinery, 2006",1.731,2016,,872,American Society of Mechanical Engineers,PM,FM,2017,0.8,
"A constitutive law for dense granular flows
P Jop, Y Forterre, O Pouliquen - Nature, 2006",2006,Pierre Jop,"Nature, 2006",,,,842,,PM,FM,2017,17.87,
"Tomographic particle image velocimetry
GE Elsinga, F Scarano, B Wieneke… - Experiments in …, 2006",2006,Bas van Oudheusden,"Experiments in Fluids, 2006",2.195,2017,,813,Springer International Publishing AG,PM,FM,2017,1.28,
"Scaling of the velocity fluctuations in turbulent channels up to Re τ= 2003
S Hoyas, J Jiménez - Physics of fluids, 2006",2006,Sergio Hoyas,"PHYSICS OF FLUIDS, 2006",2.232,2016,,674,AIP Publishing,PM,FM,2017,1.19,
"Large slip of aqueous liquid flow over a nanoengineered superhydrophobic surface
CH Choi, CJ Kim - Physical review letters, 2006",2006,Chang-Hwan Choi,"Physical review letters, 2006",8.462,2016,,587,American Physical Society,PM,FM,2017,3.62,
"An evaluation of lattice Boltzmann schemes for porous medium flow simulation
C Pan, LS Luo, CT Miller - Computers & fluids, 2006",2006,Cass T. Miller,"Computers & fluids, 2006",2.221,2016,2.61,470,Elsevier,PM,FM,2017,1.08,
"The trajectories of particles in Stokes waves
A Constantin - Inventiones mathematicae, 2006",2006,Adrian Constantin,"Inventiones mathematicae, 2006",2.946,2016,2.96,456,Springer,PM,FM,2017,6.61,
"A new family of solvers for some classes of multidimensional partial differential equations encountered in kinetic theory modeling of complex fluids
A Ammar, B Mokdad, F Chinesta… - Journal of Non- …, 2006",2006,Amine Ammar,"Journal of Non-Newtonian Fluids Mechanics, 2006",,,,451,,PM,FM,2017,,
"The 2D lid-driven cavity problem revisited
CH Bruneau, M Saad - Computers & Fluids, 2006",2006,Charles-Henri Bruneau,"Computers & Fluids, 2006",2.221,2016,2.61,350,Elsevier,PM,FM,2017,1.08,
"Controlling electromagnetic fields
JB Pendry, D Schurig, DR Smith - science, 2006",2006,John Pendry,"science, 2006",,,,6284,,PM,EM,2017,14.14,
"Metamaterial electromagnetic cloak at microwave frequencies
D Schurig, JJ Mock, BJ Justice, SA Cummer, JB Pendry… - Science, 2006",2006,David Schurig,"Science, 2006",,,,5181,,PM,EM,2017,14.14,
"Active terahertz metamaterial devices
HT Chen, WJ Padilla, JMO Zide, AC Gossard, AJ Taylor… - Nature, 2006",2006,Hou-Tong Chen,"Nature, 2006",,,,1416,,PM,EM,2017,17.87,
"Tunneling of electromagnetic energy through subwavelength channels and bends using ε-near-zero materials
M Silveirinha, N Engheta - Physical review letters, 2006",2006,Mário Silveirinha,"Physical review letters, 2006",8.462,2016,,841,American Physical Society,PM,EM,2017,3.62,
"Full-wave simulations of electromagnetic cloaking structures
SA Cummer, BI Popa, D Schurig, DR Smith… - Physical Review …, 2006",2006,Steven Cummer,Physical Review E. 2006,2.366,2016,,831,American Physical Society,PM,EM,2017,0.98,
"A comprehensive standardized model for ultrawideband propagation channels
AF Molisch, D Cassioli, CC Chong… - IEEE Transactions on …, 2006",2006,Andreas F. Molisch,"IEEE Transactions on Antennas and Propagation, 2006",2.957,,,661,IEEE,PM,EM,2017,1.31,
"Accurate modeling, wave mechanisms, and design considerations of a substrate integrated waveguide
D Deslandes, K Wu - IEEE Transactions on microwave theory and …, 2006",2006,Dominic Deslandes,"IEEE Transactions on Microwave Theory and Techniques, 2006",2.897,,,440,IEEE,PM,EM,2017,1,
"Theory and measurement of backscattering from RFID tags
PV Nikitin, KVS Rao - IEEE Antennas and Propagation Magazine, 2006",2006,Pavel V. Nikitin,"IEEE Antennas and Propagation Magazine, 2006",1.747,,,404,IEEE,PM,EM,2017,0.49,
"Asymmetric propagation of electromagnetic waves through a planar chiral structure
VA Fedotov, PL Mladyonov, SL Prosvirnin… - Physical review …, 2006",2006,N.I. Zheludev,"Physical review letters, 2006",8.462,2016,,395,American Physical Society,PM,EM,2017,3.62,
"Limits on the performance of RF-over-fiber links and their impact on device design
CH Cox, EI Ackerman, GE Betts… - IEEE Transactions on …, 2006",2006,Edward I Ackerman,"IEEE Transactions on Microwave Theory and Techniques, 2006",2.897,,,370,IEEE,PM,EM,2017,1,
"Tilting theory and cluster combinatorics
AB Buan, R Marsh, M Reineke, I Reiten… - Advances in …, 2006",2006,Aslak Bakke Buan,"Advances in Mathematics, 2006",1.372,2016,1.633,654,Elsevier,PM,ALG,2017,3.03,
"Nonnegative matrix factorization for spectral data analysis
VP Pauca, J Piper, RJ Plemmons - Linear algebra and its …, 2006",2006,No profiles,"Linear Algebra and its applications, 2006",0.972,2016,1.043,427,Elsevier,PM,ALG,2017,0.99,
"Deformations of Lie algebras using σ-derivations
JT Hartwig, D Larsson, SD Silvestrov - Journal of Algebra, 2006",2006,Jonas T. Hartwig,"Journal of Algebra, 2006",0.675,2016,0.739,348,Elsevier,PM,ALG,2017,1.19,
"Quivers with relations arising from clusters (𝐴_ {𝑛} case)
P Caldero, F Chapoton, R Schiffler - Transactions of the American …, 2006",2006,Ralf Schiffler,"TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY, 2006",,,,329,American Mathematical Society,PM,ALG,2017,2.38,
"Laplacian energy of a graph
I Gutman, B Zhou - Linear Algebra and its applications, 2006",2006,No profiles,"Linear Algebra and its applications, 2006",0.972,2016,1.043,290,Elsevier,PM,ALG,2017,1.19,
"On Gorenstein projective, injective and flat dimensions—a functorial description with applications
LW Christensen, A Frankild, H Holm - Journal of Algebra, 2006",2006,No profiles,"Journal of Algebra, 2006",0.675,2016,0.739,268,Elsevier,PM,ALG,2017,1.19,
"On Hom-algebra structures
A Makhlouf, S Silvestrov - arXiv preprint math/0609501, 2006",2006,Abdenacer Makhlouf,,,,,266,,PM,ALG,2017,,
"Strong rigidity of II1 factors arising from malleable actions of w-rigid groups, I
S Popa - Inventiones mathematicae, 2006",2006,No profile,"Inventiones mathematicae, 2006",2.946,2016,2.96,217,Springer,PM,ALG,2017,6.61,
"Non-commuting graph of a group
A Abdollahi, S Akbari, HR Maimani - Journal of Algebra, 2006",2006,Alireza Abdollahi,"Journal of Algebra, 2006",0.675,2016,0.739,200,Elsevier,PM,ALG,2017,1.19,
"Rigid modules over preprojective algebras
C Geiß, B Leclerc, J Schröer - Inventiones mathematicae, 2006",2006,Christof Geiss,"Inventiones mathematicae, 2006",2.946,2016,2.96,170,Springer,PM,ALG,2017,6.61,
"On energy harvesting from ambient vibration
NG Stephen - Journal of sound and vibration, 2006",2006,Neil Stephen,"Journal of sound and vibration, 2006",2.618,2016,2.988,637,Elsevier,PM,ACV,2017,1.36,
"The spectral kurtosis: application to the vibratory surveillance and diagnostics of rotating machines
J Antoni, RB Randall - Mechanical Systems and Signal Processing, 2006",2006,"Antoni, Jerome","Mechanical Systems and Signal Processing, 2006",4.37,2016,4.525,580,Elsevier,PM,ACV,2017,1.8,
"Support vector machines for speaker and language recognition
WM Campbell, JP Campbell, DA Reynolds… - Computer Speech & …, 2006",2006,William M. Campbell,"COMPUTER SPEECH AND LANGUAGE, 2006",,,,545,Elsevier,PM,ACV,2017,0.54,
"Automatic mood detection and tracking of music audio signals
L Lu, D Liu, HJ Zhang - IEEE Transactions on audio, speech, and …, 2006",2006,Lie Lu,,,,,509,IEEE,PM,ACV,2017,,
"Efficient auditory coding
EC Smith, MS Lewicki - Nature, 2006",2006,Michael Lewicki,"Nature, 2006",,,,506,,PM,ACV,2017,17.87,
"On phonetic convergence during conversational interaction
JS Pardo - The Journal of the Acoustical Society of America, 2006",2006,Jennifer S Pardo,"The Journal of the Acoustical Society of America, 2006",1.572,2015,,504,AIP Publishing,PM,ACV,2017,0.7,
"An audio-visual corpus for speech perception and automatic speech recognition
M Cooke, J Barker, S Cunningham… - The Journal of the …, 2006",2006,Xu Shao,The Journal of the Acoustical Society of America,1.572,2015,,480,AIP Publishing,PM,ACV,2017,0.7,
"Application-independent evaluation of speaker detection
N Brümmer, J Du Preez - Computer Speech & Language, 2006",2006,Niko Brummer,"Computer Speech & Language, 2006",1.776,2016,1.91,459,Elsevier,PM,ACV,2017,0.54,
"A glimpsing model of speech perception in noise
M Cooke - The Journal of the Acoustical Society of America, 2006",2006,No profile,"The Journal of the Acoustical Society of America, 2006",1.572,2015,,447,AIP Publishing,PM,ACV,2017,0.7,
"Wavelet filter-based weak signature detection method and its application on rolling element bearing prognostics
H Qiu, J Lee, J Lin, G Yu - Journal of sound and vibration, 2006",2006,Jay Lee,"Journal of sound and vibration, 2006",2.618,2016,2.988,440,Elsevier,PM,ACV,2017,1.36,
"Model selection and estimation in regression with grouped variables
M Yuan, Y Lin - Journal of the Royal Statistical Society: Series B ( …, 2006",2006,Ming Yuan,Journal of the Royal Statistical Society: Series B,2.894,,,3929,Wiley,PM,SP,2017,7,
"The adaptive lasso and its oracle properties
H Zou - Journal of the American statistical association, 2006",2006,Hui Zou,"Journal of the American statistical association, 2006",,,,3392,,PM,SP,2017,3.75,
"Prior distributions for variance parameters in hierarchical models (comment on article by Browne and Draper)
A Gelman - Bayesian analysis, 2006",2006,Andrew Gelman,"Bayesian analysis, 2006",2.576,2014,,2414,,PM,SP,2017,2.11,
"High-dimensional graphs and variable selection with the lasso
N Meinshausen, P Bühlmann - The annals of statistics, 2006",2006,Nicolai Meinshausen,"The annals of statistics, 2006",,,,2098,The Institute of Mathematical Statistics,PM,SP,2017,5.87,
"Sparse principal component analysis
H Zou, T Hastie, R Tibshirani - Journal of computational and …, 2006",2006,Hui Zou,"Journal of Computational and Graphical Statistics, 2006",1.79,2017,,1662,Taylor & Francais,PM,SP,2017,3.13,
"Unbiased recursive partitioning: A conditional inference framework
T Hothorn, K Hornik, A Zeileis - Journal of Computational and …, 2006",2006,Torsten Hothorn,"Journal of Computational and Graphical Statistics, 2006",1.79,2017,,1335,Taylor & Francais,PM,SP,2017,3.13,
"Generalized reduced rank tests using the singular value decomposition
F Kleibergen, R Paap - Journal of econometrics, 2006",2006,Frank Kleibergen,"Journal of econometrics, 2006",1.632,2016,2.179,1186,Elsevier,PM,SP,2017,5.19,
"Dichotomizing continuous predictors in multiple regression: a bad idea
P Royston, DG Altman, W Sauerbrei - Statistics in medicine, 2006",2006,Willi Sauerbrei,"Statistics in medicine, 2006",1.932,,,1066,Wiley & Sons ,PM,SP,2017,2.37,
"Econometrics of testing for jumps in financial economics using bipower variation
OE Barndorff-Nielsen, N Shephard - Journal of financial …, 2006",2006,Neil Shephard,"Journal of Financial Econometrics, 2006",1.686,2016,1.932,1004,Oxford University Press,PM,SP,2017,2.11,
"Sequential monte carlo samplers
P Del Moral, A Doucet, A Jasra - Journal of the Royal Statistical …, 2006",2006,Pierre Del Moral,Journal of the Royal Statistical Society: Series B,2.894,,,957,Wiley,PM,SP,2017,7,